QnA,topic,customer_question,agent_reply,1
"What life insurance companies does Whitley Newman Insurance have access to? We have access to a select group of premier life insurance companies in Canada including: BMO Life, Canada Life, Canada Protection Plan, Desjardins Financial, Empire Life, Equitable Life, Foresters, Industrial Alliance, ivari, Manulife Financial, RBC Insurance, Sun Life Financial, The Edge Benefits.",Companies we represent,What life insurance companies does Whitley Newman Insurance have access to?,"Whitley Newman Insurance has access to a select group of premier life insurance companies in Canada. Some of these companies include BMO Life, Canada Life, Canada Protection Plan, Desjardins Financial, Empire Life, Equitable Life, Foresters, Industrial Alliance, ivari, Manulife Financial, RBC Insurance, Sun Life Financial, and The Edge Benefits.",
"What financial service providers does Whitley Newman Insurance work with? Worldsource Financial Management Inc. provides access to a broad range of mutual fund families in Canada including: AGF Management Limited, BMO Guardian, CI Investments Inc., CIBC Asset Management Inc., Dynamic Mutual Funds Ltd., Fidelity Investments of Canada Ltd., Franklin Templeton Funds, IA Clarington Funds, Invesco Trimark, Mackenzie Financial Corporation, TD Mutual Funds.",Companies we represent,What financial service providers does Whitley Newman Insurance work with?,"Whitley Newman Insurance works with Worldsource Financial Management Inc., providing access to a broad range of mutual fund families in Canada. Some of these providers include AGF Management Limited, BMO Guardian, CI Investments Inc., CIBC Asset Management Inc., Dynamic Mutual Funds Ltd., Fidelity Investments of Canada Ltd., Franklin Templeton Funds, IA Clarington Funds, Invesco Trimark, Mackenzie Financial Corporation, and TD Mutual Funds.",2.5.2
"What is a mutual fund? A mutual fund is a pool of assets contributed to by investors who share similar investment objectives. The mutual fund is managed by professional portfolio managers and advisors in accordance with a disclosed investment strategy in order to achieve the mutual fund’s objective. Mutual funds provide a cost-effective way of owning diverse investments based on the knowledge and attention of professional money managers. There is a wide variety of mutual funds available in Canada (some 4000) to help investors achieve their personal financial goals. For example, the investment strategy of any given fund can be designed to provide lower or higher risk options. This in turn provides opportunities for investors who plan to invest their money for longer or shorter periods of time. Some funds are designed to provide investors with regular income; others may provide capital growth and income. There are also funds that can be turned into cash easily if the need arises. Funds can be invested entirely in the stocks of Canadian companies, Canadian bonds issued by companies, federal or provincial governments, or other Canadian assets. Some funds focus on foreign investments; still others are a blend of Canadian and foreign investments. For each mutual fund, a prospectus is filed with the relevant securities commission. A prospectus provides a detailed description of the mutual fund, including: • the recent performance of the fund in terms of earnings for investors • the composition of the fund e.g. bonds, equity (stocks), foreign content, real estate • the objective of the fund e.g. achieve above-average, long-term growth and capital protection • the investment style of the money manager Disclaimer: commissions, trailing commissions, management fees and expenses all may be associated with mutual fund investments. Please read the prospectus before investing. Mutual funds are not guaranteed, their values change frequently and past performance may not be repeated.",Financial Services,What is a mutual fund?,"A mutual fund is a pool of assets contributed to by investors who share similar investment objectives. The mutual fund is managed by professional portfolio managers and advisors in accordance with a disclosed investment strategy in order to achieve the mutual fund’s objective. Mutual funds provide a cost-effective way of owning diverse investments based on the knowledge and attention of professional money managers. There is a wide variety of mutual funds available in Canada (some 4000) to help investors achieve their personal financial goals. For example, the investment strategy of any given fund can be designed to provide lower or higher risk options. This in turn provides opportunities for investors who plan to invest their money for longer or shorter periods of time. Some funds are designed to provide investors with regular income; others may provide capital growth and income. There are also funds that can be turned into cash easily if the need arises. Funds can be invested entirely in the stocks of Canadian companies, Canadian bonds issued by companies, federal or provincial governments, or other Canadian assets. Some funds focus on foreign investments; still others are a blend of Canadian and foreign investments. For each mutual fund, a prospectus is filed with the relevant securities commission. A prospectus provides a detailed description of the mutual fund, including: • the recent performance of the fund in terms of earnings for investors • the composition of the fund e.g. bonds, equity (stocks), foreign content, real estate • the objective of the fund e.g. achieve above-average, long-term growth and capital protection • the investment style of the money manager Disclaimer: commissions, trailing commissions, management fees and expenses all may be associated with mutual fund investments. Please read the prospectus before investing. Mutual funds are not guaranteed, their values change frequently and past performance may not be repeated.",
"How is income tax collected on mutual funds? It is a good idea to find out what the fiscal repercussions will be when you select a mutual fund. A financial professional can answer many of your questions. However, it is recommended that you talk to a tax consultant, who will assess your personal situation.",Financial Services,How is income tax collected on mutual funds?,"It is a good idea to find out what the fiscal repercussions will be when you select a mutual fund. A financial professional can answer many of your questions. However, it is recommended that you talk to a tax consultant, who will assess your personal situation.",
How can I calculate my net worth? Your net worth is obtained by adding up your total assets (what you own) and subtracting your liabilities (what you owe). Calculate your Net Worth easily by using our online tool.,Financial Services,How can I calculate my net worth?,Your net worth is obtained by adding up your total assets (what you own) and subtracting your liabilities (what you owe). Calculate your Net Worth easily by using our online tool.,
When should I update my net worth? Update your net worth calculation at least once a year in order to track your progress.,Financial Services,When should I update my net worth?,Update your net worth calculation at least once a year in order to track your progress.,
How can I increase my net worth? Improve the rate of return on your investments. Invest more of your income by spending less and minimizing taxes. Reduce your debt by paying off loan and credit card debt and accelerating your mortgage payments.,Financial Services,How can I increase my net worth?,Improve the rate of return on your investments. Invest more of your income by spending less and minimizing taxes. Reduce your debt by paying off loan and credit card debt and accelerating your mortgage payments.,
"What is the “Rule of 72”? A simple rule of thumb for estimating how quickly your assets will grow. Take the number 72 and divide it by your rate of return – this will tell you how long it will take to double your assets. If you are earning 8%, your assets will double every 9 years, (72/8).",Financial Services,What is the “Rule of 72”?,"A simple rule of thumb for estimating how quickly your assets will grow. Take the number 72 and divide it by your rate of return – this will tell you how long it will take to double your assets. If you are earning 8%, your assets will double every 9 years, (72/8).",
How much should I be saving? Get into the habit of saving a regular amount of at least 10% of your income each month and use the balance for your expenses. This is known as the “pay yourself first plan”. Have this amount regularly transferred to a separate account on a monthly basis.,Financial Services,How much should I be saving?,Get into the habit of saving a regular amount of at least 10% of your income each month and use the balance for your expenses. This is known as the “pay yourself first plan”. Have this amount regularly transferred to a separate account on a monthly basis.,
"How can I maximize my RRSP contribution? You should start by building a financial plan to ensure you: Take care of your current financial needs and obligations Provide for your short-term goals such as vacations, home renovations, etc. Provide funds or insurance coverage for unexpected events Secure a worry-free retirement Once you have assessed all of your family’s needs, you can develop a strategy to maximize your RRSP contributions. The sooner you start investing in an RRSP, the greater your tax-free earnings will be. Your RRSP will grow faster when you make regular contributions up to your maximum allowable amount. Your maximum allowable amount is shown on the notice of contributions issued by the federal government when you file your tax return each year. The amount is a percentage of your earned income for the previous year. When the time comes to make your RRSP contribution, you may not have enough cash available to make the full contribution. You may want to consider a loan to make up the difference. There are loans specifically designed for investing in an RRSP. If you can pay off the amount you borrow in one year, borrowing money can be a great way to keep your RRSP growing. As an added benefit, you will receive a tax refund on your contribution amount that will help you pay back the loan.",Financial Services,How can I maximize my RRSP contribution?,"You should start by building a financial plan to ensure you: Take care of your current financial needs and obligations Provide for your short-term goals such as vacations, home renovations, etc. Provide funds or insurance coverage for unexpected events Secure a worry-free retirement Once you have assessed all of your family’s needs, you can develop a strategy to maximize your RRSP contributions. The sooner you start investing in an RRSP, the greater your tax-free earnings will be. Your RRSP will grow faster when you make regular contributions up to your maximum allowable amount. Your maximum allowable amount is shown on the notice of contributions issued by the federal government when you file your tax return each year. The amount is a percentage of your earned income for the previous year. When the time comes to make your RRSP contribution, you may not have enough cash available to make the full contribution. You may want to consider a loan to make up the difference. There are loans specifically designed for investing in an RRSP. If you can pay off the amount you borrow in one year, borrowing money can be a great way to keep your RRSP growing. As an added benefit, you will receive a tax refund on your contribution amount that will help you pay back the loan.",
"Is there other coverage I should consider on my auto policy? Yes. There are a number of options for you to choose from that can enhance your auto coverage: Options-Description Increased liability limits Up to a maximum of $2,000,000. Collision coverage Covers damage to your vehicle in the event of an accident. Comprehensive coverage Provides coverage for theft, fire, vandalism, cracked windshield and other perils. Loss of use coverage Provides coverage for a rental vehicle while your vehicle is being repaired after an accident. Rental vehicle coverage Extends physical damage coverage to rented vehicles in Canada and the United States. Optional Benefits: • Income Replacement • Medical, Rehabilitation & Attendant • Care • Caregiver and Dependant Care • Death and Funeral • Indexation of Benefits Can increase the maximum levels of accident benefits coverage on your policy. In addition, you can choose to index your accident benefits coverage to ensure it stays in line with the Consumer Price Index. If you have benefits available through your employer or elsewhere, you may not need to buy optional benefits. We can help you decide which optional benefits, if any, are appropriate for you.",Financial Services,Is there other coverage I should consider on my auto policy?,"Yes. There are a number of options for you to choose from that can enhance your auto coverage: Options-Description Increased liability limits Up to a maximum of $2,000,000. Collision coverage Covers damage to your vehicle in the event of an accident. Comprehensive coverage Provides coverage for theft, fire, vandalism, cracked windshield and other perils. Loss of use coverage Provides coverage for a rental vehicle while your vehicle is being repaired after an accident. Rental vehicle coverage Extends physical damage coverage to rented vehicles in Canada and the United States. Optional Benefits: • Income Replacement • Medical, Rehabilitation & Attendant • Care • Caregiver and Dependant Care • Death and Funeral • Indexation of Benefits Can increase the maximum levels of accident benefits coverage on your policy. In addition, you can choose to index your accident benefits coverage to ensure it stays in line with the Consumer Price Index. If you have benefits available through your employer or elsewhere, you may not need to buy optional benefits. We can help you decide which optional benefits, if any, are appropriate for you.",
"Is my swimming pool covered by my home insurance policy? Basic home insurance policies do not generally cover damage to above-ground swimming pools. It is, however, possible to obtain additional coverage to protect yourself against anything that could damage your above-ground swimming pool, with the exception of normal wear. Unlike most other insurance companies, the basic Intact Insurance home insurance policy covers damage caused to in-ground swimming pools.",Financial Services,Is my swimming pool covered by my home insurance policy?,"Basic home insurance policies do not generally cover damage to above-ground swimming pools. It is, however, possible to obtain additional coverage to protect yourself against anything that could damage your above-ground swimming pool, with the exception of normal wear. Unlike most other insurance companies, the basic Intact Insurance home insurance policy covers damage caused to in-ground swimming pools.",
"My insurance policy covers all of the goods contained in my house. Why should I take out additional insurance for a specific item? Home insurance policies generally include limits with respect to valuable or unusual items. Such limits apply specifically to jewelry, furs, silverware, boats, and certain collector’s items. It is possible to increase the coverage for such items or to eliminate certain exclusions by adding coverage specifically for a given item.",Financial Services,My insurance policy covers all of the goods contained in my house. Why should I take out additional insurance for a specific item?,"Home insurance policies generally include limits with respect to valuable or unusual items. Such limits apply specifically to jewelry, furs, silverware, boats, and certain collector’s items. It is possible to increase the coverage for such items or to eliminate certain exclusions by adding coverage specifically for a given item.",
"Is a home-based business covered under my residential policy? No. Residential policies exclude business or commercial belongings, as well as professional liability. Intact Insurance offers additional protection that covers the business you run from your home by extending your homeowner’s policy and adding professional liability insurance to the package.",Financial Services,Is a home-based business covered under my residential policy?,"No. Residential policies exclude business or commercial belongings, as well as professional liability. Intact Insurance offers additional protection that covers the business you run from your home by extending your homeowner’s policy and adding professional liability insurance to the package.",
"Am I insured in the event of a power failure that lasts several days? Insurance policies do not generally cover the additional expenses incurred as a result of an extended power failure, unless the authorities order your area evacuated. Intact Insurance offers additional coverage which enables you to pre-select an amount that you will be reimbursed per day, in the event of an extended power failure. This can be used to cover any of your incurred expenses, such as lodging, heating wood, meals in restaurants, protection of your goods, etc.",Financial Services,Am I insured in the event of a power failure that lasts several days?,"Insurance policies do not generally cover the additional expenses incurred as a result of an extended power failure, unless the authorities order your area evacuated. Intact Insurance offers additional coverage which enables you to pre-select an amount that you will be reimbursed per day, in the event of an extended power failure. This can be used to cover any of your incurred expenses, such as lodging, heating wood, meals in restaurants, protection of your goods, etc.",
"Is my insurance coverage adequate? Have your needs assessed by a professional to determine the coverage you should obtain for material loss, death, disability, illness, etc. In the event of death, a life insurance policy may be essential for giving your dependents a replacement income or paying off your debts, such as a mortgage, or inheritance tax. Take the time to consider disability insurance since an inability to work can have serious financial consequences. Make sure that you have a policy that provides adequate coverage in the event that damage may occur to your home, your automobile, and your other belongings.",Financial Services,Is my insurance coverage adequate?,"Have your needs assessed by a professional to determine the coverage you should obtain for material loss, death, disability, illness, etc. In the event of death, a life insurance policy may be essential for giving your dependents a replacement income or paying off your debts, such as a mortgage, or inheritance tax. Take the time to consider disability insurance since an inability to work can have serious financial consequences. Make sure that you have a policy that provides adequate coverage in the event that damage may occur to your home, your automobile, and your other belongings.",
"Do I need a will? If you die intestate (without a will), your assets will be distributed according to provincial law – perhaps differently than you intended. You should review your will about every five years, or whenever there is a change in your family circumstances. You should consult your legal advisor to discuss your will.",Financial Services,Do I need a will?,"If you die intestate (without a will), your assets will be distributed according to provincial law – perhaps differently than you intended. You should review your will about every five years, or whenever there is a change in your family circumstances. You should consult your legal advisor to discuss your will.",
"What is a power of attorney? It is a legal document which allows you to confer responsibility on someone you trust to do certain things on your behalf, for example, rent an apartment or sell your car while you are on holiday or even if you become incapacitated.",Financial Services,What is a power of attorney?,"It is a legal document which allows you to confer responsibility on someone you trust to do certain things on your behalf, for example, rent an apartment or sell your car while you are on holiday or even if you become incapacitated.",2.5.3
"How can I safeguard my belongings effectively? There are several simple ways to safeguard your belongings. One effective method is to maintain a clear inventory of your possessions. You can use a video camera, Polaroid, or tape recorder to take inventory quickly and accurately. Another option is to download and print our Personal Inventory Booklet, which provides a practical tool for tracking your belongings. It's crucial to update your inventory regularly and not rely on an outdated inventory.",Safety tips,How can I safeguard my belongings effectively?,"There are several simple ways to safeguard your belongings. One effective method is to maintain a clear inventory of your possessions. You can use a video camera, Polaroid, or tape recorder to take inventory quickly and accurately. Another option is to download and print our Personal Inventory Booklet, which provides a practical tool for tracking your belongings. It's crucial to update your inventory regularly and not rely on an outdated inventory.",
"Where should I keep my precious keepsakes and valuables? Precious keepsakes and valuables, such as jewelry, are best kept in a safety deposit box. While insurance can help with the monetary value in case of loss, the sentimental value of such items is irreplaceable.",Safety tips,Where should I keep my precious keepsakes and valuables?,"Precious keepsakes and valuables, such as jewelry, are best kept in a safety deposit box. While insurance can help with the monetary value in case of loss, the sentimental value of such items is irreplaceable.",
"How can I ensure the security of my possessions in case of theft? Engrave your name or an identifying number on major items, such as TVs, VCRs, cameras, computers, and power tools. Ensure that the engraving is visible and consider doing it twice – once prominently and again in a more hidden spot. Additionally, use decals on doors or windows to advertise your identification system to burglars, which may deter them from handling marked items.",Safety tips,How can I ensure the security of my possessions in case of theft?,"Engrave your name or an identifying number on major items, such as TVs, VCRs, cameras, computers, and power tools. Ensure that the engraving is visible and consider doing it twice – once prominently and again in a more hidden spot. Additionally, use decals on doors or windows to advertise your identification system to burglars, which may deter them from handling marked items.",
"What is the importance of updating insurance coverage? It's essential to update your insurance coverage regularly, especially if you collect items like coins, sports cards, jewelry, professional-use tools, computer equipment, or securities. Such items may exceed your current insurance coverage, posing a risk to your possessions. By updating your inventory annually and informing your broker of new purchases, you can ensure your possessions are adequately protected.",Safety tips,What is the importance of updating insurance coverage?,"It's essential to update your insurance coverage regularly, especially if you collect items like coins, sports cards, jewelry, professional-use tools, computer equipment, or securities. Such items may exceed your current insurance coverage, posing a risk to your possessions. By updating your inventory annually and informing your broker of new purchases, you can ensure your possessions are adequately protected.",
"How can I make my home appear lived-in while on vacation? To avoid advertising your absence while on vacation, use timers to turn lights and a radio on and off during the day and evening. Additionally, ask a neighbor or friend to perform tasks like working the lights, mowing the lawn, shoveling snow, and collecting circulars, mail, and newspapers. Consider canceling your newspaper delivery and putting a hold on your mail if you're away for an extended period.",Safety tips,How can I make my home appear lived-in while on vacation?,"To avoid advertising your absence while on vacation, use timers to turn lights and a radio on and off during the day and evening. Additionally, ask a neighbor or friend to perform tasks like working the lights, mowing the lawn, shoveling snow, and collecting circulars, mail, and newspapers. Consider canceling your newspaper delivery and putting a hold on your mail if you're away for an extended period.",
"What guidelines should I follow to prevent fires at home? To prevent fires at home, follow guidelines from the Canada Safety Council. Plan and practice escape routes from each bedroom, ensuring everyone knows the escape plan and outside meeting place. Keep heating equipment well-maintained, clear of clutter, and use portable heaters safely. In the kitchen, never leave cooking unattended and use a lid to smother grease fires. Install smoke detectors outside bedrooms and have fire extinguishers readily accessible.",Safety tips,What guidelines should I follow to prevent fires at home?,"To prevent fires at home, follow guidelines from the Canada Safety Council. Plan and practice escape routes from each bedroom, ensuring everyone knows the escape plan and outside meeting place. Keep heating equipment well-maintained, clear of clutter, and use portable heaters safely. In the kitchen, never leave cooking unattended and use a lid to smother grease fires. Install smoke detectors outside bedrooms and have fire extinguishers readily accessible.",
"How can I ensure the effectiveness of smoke alarms in my home? To ensure the effectiveness of smoke alarms, install them on every floor and near bedrooms. Use a combination of ionization and photoelectric type smoke alarms for maximum protection. Regularly maintain smoke alarms by replacing them every five years and cleaning them every six months. Replace batteries annually, test alarms monthly, and never remove batteries for any reason.",Safety tips,How can I ensure the effectiveness of smoke alarms in my home?,"To ensure the effectiveness of smoke alarms, install them on every floor and near bedrooms. Use a combination of ionization and photoelectric type smoke alarms for maximum protection. Regularly maintain smoke alarms by replacing them every five years and cleaning them every six months. Replace batteries annually, test alarms monthly, and never remove batteries for any reason.",
"What should I do if I'm involved in a car accident? If involved in a car accident, immediately check for injuries and call for emergency aid if needed. Drive your car to the side of the road if possible and necessary. Record details of the accident, including damage to vehicles and the other driver's information. File an accident report with the police within 48 hours and report the claim to your broker with a copy of the police report or accident number.",Safety tips,What should I do if I'm involved in a car accident?,"If involved in a car accident, immediately check for injuries and call for emergency aid if needed. Drive your car to the side of the road if possible and necessary. Record details of the accident, including damage to vehicles and the other driver's information. File an accident report with the police within 48 hours and report the claim to your broker with a copy of the police report or accident number.",
"What precautions should I take when using a cell phone while driving? When using a cell phone while driving, use a hands-free model, keep conversations brief, and avoid dialing. If a conversation becomes too engrossing, pull over safely. While driving, keep your hands on the wheel, eyes on the road, and prioritize driving. Avoid unnecessary calls and focus solely on driving to ensure safety on the road.",Safety tips,What precautions should I take when using a cell phone while driving?,"When using a cell phone while driving, use a hands-free model, keep conversations brief, and avoid dialing. If a conversation becomes too engrossing, pull over safely. While driving, keep your hands on the wheel, eyes on the road, and prioritize driving. Avoid unnecessary calls and focus solely on driving to ensure safety on the road.",
"How can I protect my home while away on vacation? While on vacation, protect your home by using timers for lights and asking a neighbor to perform tasks like collecting mail.",Safety tips,How can I protect my home while away on vacation?,"While on vacation, protect your home by using timers for lights and asking a neighbor to perform tasks like collecting mail.",
What measures should I take to prevent home fires? Prevent home fires by planning escape routes and keeping heating equipment well-maintained and clear of clutter.,Safety tips,What measures should I take to prevent home fires?,Prevent home fires by planning escape routes and keeping heating equipment well-maintained and clear of clutter.,
How often should I replace smoke alarm batteries? Replace smoke alarm batteries annually to ensure their effectiveness.,Safety tips,How often should I replace smoke alarm batteries?,Replace smoke alarm batteries annually to ensure their effectiveness.,
"What steps should I take after a car accident? After a car accident, check for injuries, record details, and file an accident report with the police.",Safety tips,What steps should I take after a car accident?,"After a car accident, check for injuries, record details, and file an accident report with the police.",
How can I minimize distractions while driving? Minimize distractions while driving by avoiding phone use and focusing solely on the road.,Safety tips,How can I minimize distractions while driving?,Minimize distractions while driving by avoiding phone use and focusing solely on the road.,
"What types of smoke alarms are available? Smoke alarms are available in electrically powered, battery powered, or combination models.",Safety tips,What types of smoke alarms are available?,"Smoke alarms are available in electrically powered, battery powered, or combination models.",
How should I maintain my smoke alarms? Maintain smoke alarms by cleaning them every six months and replacing them every five years.,Safety tips,How should I maintain my smoke alarms?,Maintain smoke alarms by cleaning them every six months and replacing them every five years.,
"What should I do if a fire breaks out in my home? If a fire breaks out, follow your escape plan and call the fire department.",Safety tips,What should I do if a fire breaks out in my home?,"If a fire breaks out, follow your escape plan and call the fire department.",
Should I store flammable products near my furnace? Avoid storing flammable products near the furnace to reduce the risk of fire.,Safety tips,Should I store flammable products near my furnace?,Avoid storing flammable products near the furnace to reduce the risk of fire.,
How can I ensure everyone knows the escape plan in my home? Ensure everyone knows the escape plan by practicing it regularly and discussing it with family members.,Safety tips,How can I ensure everyone knows the escape plan in my home?,Ensure everyone knows the escape plan by practicing it regularly and discussing it with family members.,
How can I prevent cooking-related fires in my kitchen? Prevent cooking-related fires by never leaving cooking unattended and using a lid to smother grease fires.,Safety tips,How can I prevent cooking-related fires in my kitchen?,Prevent cooking-related fires by never leaving cooking unattended and using a lid to smother grease fires.,
"What should I do if a grease fire occurs while cooking? If a grease fire occurs, smother it with a lid and never use water, which can worsen the flames.",Safety tips,What should I do if a grease fire occurs while cooking?,"If a grease fire occurs, smother it with a lid and never use water, which can worsen the flames.",
"How can I reduce the risk of accidents while driving? Reduce the risk of accidents by staying focused, keeping hands on the wheel, and avoiding distractions.",Safety tips,How can I reduce the risk of accidents while driving?,"Reduce the risk of accidents by staying focused, keeping hands on the wheel, and avoiding distractions.",
"What actions should I take if my smoke alarm goes off? If the smoke alarm sounds, follow your escape plan and evacuate the building immediately.",Safety tips,What actions should I take if my smoke alarm goes off?,"If the smoke alarm sounds, follow your escape plan and evacuate the building immediately.",
Can I use an extension cord for heating equipment? It's best to avoid using extension cords for heating equipment to reduce the risk of electrical fires.,Safety tips,Can I use an extension cord for heating equipment?,It's best to avoid using extension cords for heating equipment to reduce the risk of electrical fires.,
